Country,City,Category,Producer,Key Products/Specialties,Neighbourhood,Latitude,Longitude,Google Rating,Google Reviews,Instagram Followers,TikTok Followers,Website / IG,Press Mentions,Selection Rationale,Photo URL,Photo Source
GBR,London,Delicatessen,Le Brixton Deli,"Artisan meats, cheeses, wines",Brixton,51.4626,-0.1145,4.5,18,3100.0,,,,Granville Arcade deli and restaurant with curated charcuterie cheese and wine showcasing Brixton Village's continental side.,,other
GBR,London,Delicatessen,Brixton Cornercopia,"Locally-made preserves, honey, larder goods",Brixton,51.4626,-0.1145,4.4,54,1900.0,,,Time Out,Brixton Village corner shop exclusively stocking South London-sourced produce from local honey to Brockwell Park damson jam.,,other
GBR,London,Butcher Shops,Michael's Meat,"Traditional butcher, fresh cuts",Brixton,51.4626,-0.1145,4.5,12,,,,,Atlantic Road railway-arch butcher serving Brixton residents for decades and a fixture of Electric Avenue's food traders.,,google_maps
GBR,London,Butcher Shops,AM Quality Halal Meat,"Halal butcher, fresh meats",Brixton,51.4626,-0.1145,4.8,23,,,,,Atlantic Road halal butcher praised by neighbourhood reviewers for quality cuts and friendly long-hours service.,,google_maps
GBR,London,Butcher Shops,M M Quality Meats,"Halal butcher, Caribbean cuts",Brixton,51.4626,-0.1145,4.4,32,,,,,Electric Avenue halal butcher serving Brixton's Caribbean and African diaspora with bespoke cuts.,,google_maps
GBR,London,Seafood Producers,Ramzey Fishmongers,"Traditional fresh fish, Caribbean varieties",Brixton,51.4626,-0.1145,4.3,28,,,,Time Out,Market Row fishmonger since 1993 offering a broad range of fresh seafood at accessible prices for local home cooks.,,google_maps
GBR,London,Seafood Producers,Harry Otto & Son,"Family fishmonger, red snapper, shellfish",Brixton,51.4626,-0.1145,4.6,41,,,,,Three-generation family fishmonger in Granville Arcade for 40+ years known for cleaning service and Caribbean specialty fish.,,google_maps
GBR,London,Seafood Producers,Daily Fresh Fish & Meat,"Fresh fish, seafood and meat",Brixton,51.4626,-0.1145,4.2,15,,,,,Electric Avenue independent fishmonger anchoring Brixton's traditional market fish trade.,,google_maps
GBR,London,Local Soft Drinks,Brixton Bees,Raw local urban-apiary honey,Brixton,51.4626,-0.1145,4.8,12,1930.0,,https://www.instagram.com/brixton_bees,,Family-run apiary near Ferndale Road producing raw multi-floral honey from Brixton gardens stocked locally at Aries and Guzzl.,https://www.instagram.com/p/C_brixton_bees.jpg,instagram
GBR,London,Local Snacks,Lazy Scientist,Fermented Scotch bonnet hot sauces,Brixton,51.4626,-0.1145,4.9,54,3178.0,,https://www.lazyscientistsauces.co.uk,,Award-winning small-batch hot sauce brand born in SW9 with all ingredients sourced from Electric Avenue vendors.,"https://static.wixstatic.com/media/4bba3c_014384544fc048d2bc1f67093d04b726~mv2.jpg/v1/fit/w_2500,h_1330,al_c/4bba3c_014384544fc048d2bc1f67093d04b726~mv2.jpg",official_website
GBR,London,Local Snacks,Jefferson's Ice Cream,Artisanal organic milk ice cream,Brixton,51.4626,-0.1145,4.5,112,7341.0,,https://jeffersonsicecream.com/brixton,Time Out,Family-run creamery in Arch 545 Brixton Station Road making award-winning ice cream daily with organic milk.,,official_website
GBR,London,Local Snacks,Aries Bakehouse,"Caribbean-British pastries, sausage rolls",Brixton,51.4626,-0.1145,4.7,206,15400.0,,https://aries-bakehouse.square.site,Huffington Post,Self-taught baker Jackie McKinson's bakehouse known for jerk-chicken sausage rolls and ackee and saltfish danishes and a press darling.,,official_website
GBR,London,Fruits & Vegetables,Brixton Foodland,"Afro-Caribbean greengrocer, dried saltfish",Brixton,51.4626,-0.1145,4.1,45,,,,,Market Row trader specialising in African and Caribbean produce grains and pulses central to Brixton's home cooking.,,google_maps
GBR,London,Fruits & Vegetables,Esme's Organic Roots Fruit & Veg,Organic Caribbean and South American produce,Brixton,51.4626,-0.1145,4.6,18,,,,,Two-decade Brixton Village institution run by Lurline offering organic roots Irish moss June plums and herbal products.,,google_maps
GBR,London,Fruits & Vegetables,Brixton Wholefoods,"Organic wholefoods, herbs and spices",Brixton,51.4626,-0.1145,4.7,138,2400.0,,,,Atlantic Road wholefood shop since 1982 with a self-service spice room of 350 jars plus nuts pulses and dried goods.,,official_website
GBR,London,Bakeries,Darby's Bakery,"Sourdough, viennoiserie, pastries",Battersea,51.4767,-0.15,4.4,786,18500.0,,https://www.darbys-london.com,"Standard, Hot Dinners",In-house bakery at Robin Gill's Embassy Gardens oyster bar producing fresh pastries and breads daily.,,official_website
GBR,London,Bakeries,The Feel Good Bakery,"Specialty coffee, bagels, pastries",Battersea,51.4767,-0.15,4.8,64,2100.0,,https://thefeelgoodbakery.com,,Social enterprise bakery at Battersea Power Station training disadvantaged youth and funding meal programmes overseas.,,official_website
GBR,London,Bakeries,Boulangerie de Paris,"French breads, croissants, pastries",Battersea,51.4767,-0.15,4.3,92,1600.0,,,,Independent French bakery on Northcote Road serving traditional viennoiserie and artisan loaves.,,google_maps
GBR,London,Coffee Roasteries,WatchHouse Battersea,"Specialty espresso, filter coffee",Battersea,51.4767,-0.15,4.5,77,52000.0,,https://www.watchhouse.com,,Modern London speciality coffee brand with Electric Boulevard cafe sourcing seasonal single-origin beans.,http://watchhouse.com/cdn/shop/files/IMGL5569_c3de478c-0329-4455-88e0-eba18e90d506.jpg?v=1604949042,official_website
GBR,London,Coffee Roasteries,Birdhouse Coffee,"Specialty espresso, single origin",Battersea,51.4767,-0.15,4.6,254,4200.0,,,,Independent St John's Hill cafe championing rotating speciality roasters and seasonal filter brews.,,google_maps
GBR,London,Coffee Roasteries,Black Lab Coffee,"Speciality coffee, brunch",Battersea,51.4767,-0.15,4.6,342,3800.0,,,,Independent Northcote Road coffee shop serving rotating guest roasters in a neighbourhood setting.,,google_maps
GBR,London,Breweries,Battersea Brewery,"Aura lager, craft beers, taproom",Battersea,51.4767,-0.15,4.4,412,12500.0,,https://batterseabrew.co.uk,,Microbrewery under Circus West Village arches brewing flagship Aura lager direct from tank.,,official_website
GBR,London,Breweries,Mondo Brewing Company,"IPA, lager, sours",Battersea,51.4767,-0.15,4.7,285,19500.0,,https://www.mondobrewingcompany.com,,Independent craft brewery on Stewart's Road SW8 producing hop-forward beers with on-site taproom.,https://craftpeak-cooler-images.imgix.net/mondo-brewing-company/Taproom_Facing_Bar.jpg?auto=compress%2Cformat&fit=scale&h=1365&ixlib=php-3.3.1&w=2048&wpsize=2048x2048&s=da6391f26296d53d283c38307d7c6bcf,official_website
GBR,London,Breweries,Sambrook's Brewery,"Wandle ale, Junction, lagers",Battersea,51.4767,-0.15,4.6,340,15400.0,,https://sambrooksbrewery.co.uk,"Guardian, CAMRA",Long-running Battersea brewery at the Heritage Centre producing cask ales rooted in Wandsworth tradition.,,official_website
GBR,London,Distilleries,Doghouse Distillery,"London Bullets vodka, Baller gin",Battersea,51.4767,-0.15,4.8,94,8200.0,,https://doghousedistillery.com,,Battersea-based grain-to-glass distillery on Havelock Terrace producing vodka and gin with tours.,,official_website
GBR,London,Delicatessen,Hamish Johnston Fine Cheese,"Artisan cheese, charcuterie",Battersea,51.4767,-0.15,4.8,145,5600.0,,https://hamishjohnston.com,,Independent Northcote Road cheesemonger specialising in farmhouse British and European cheeses.,http://static1.squarespace.com/static/59dcdfe9197aeaa9a59586f7/t/64a51fa4e8d3055e9cad4154/1688543140614/banner+new+040723.jpg?format=1500w,official_website
GBR,London,Delicatessen,Battersea General Store,"Global pantry, deli sandwiches, coffee",Battersea,51.4767,-0.15,4.1,310,4300.0,,,,Independent 6500 sqft Circus West deli stocking hard-to-find international and British speciality goods.,,google_maps
GBR,London,Delicatessen,Philglas & Swiggot,"Independent wines, spirits",Battersea,51.4767,-0.15,4.7,84,6400.0,,https://www.philglas-swiggot.com,,Northcote Road independent wine merchant focused on small-grower bottles and natural wines.,,official_website
GBR,London,Butcher Shops,Dove's Butchers,"Dry-aged beef, sausages, free-range meat",Battersea,51.4767,-0.15,4.6,112,,,,"Guardian, Telegraph",Northcote Road family butcher in operation since 1889 supplying London restaurants and home cooks.,,google_maps
GBR,London,Butcher Shops,The Butcher & Grill,"British butchery, in-house grill",Battersea,51.4767,-0.15,4.2,215,2200.0,,https://www.thebutcherandgrill.com,,Battersea Park Road butcher-restaurant hybrid supplying dry-aged steaks alongside on-site dining.,https://www.thesukubali.com/img/tototogel.png,official_website
GBR,London,Butcher Shops,Hennessy Butchers,"Free-range meats, charcuterie",Battersea,51.4767,-0.15,4.5,68,,,,,Independent Battersea Park Road butcher focused on free-range British meat and house-made sausages.,,google_maps
GBR,London,Seafood Producers,Wright Brothers Battersea,"Oysters, day-boat fish, seafood platters",Battersea,51.4767,-0.15,4.4,840,38000.0,,https://thewrightbrothers.co.uk,"Time Out, Standard",Riverside Circus West seafood specialist sourcing directly from their Billingsgate and Brixham wholesale arms.,,official_website
GBR,London,Seafood Producers,Jonathan Norris Fishmongers,"Fresh fish, shellfish, smoked salmon",Battersea,51.4767,-0.15,4.7,72,1800.0,,,,Northcote Road independent fishmonger sourcing day-boat catches and supplying neighbourhood restaurants.,,google_maps
GBR,London,Local Soft Drinks,Square Root Soda,"Craft sodas, tonics, mixers",Battersea,51.4767,-0.15,4.8,156,24500.0,1200.0,https://squarerootsoda.co.uk,"Guardian, Time Out",London craft soda makers stocked at Battersea Power Station venues using whole fruit and botanicals.,https://squarerootsoda.co.uk/assets/logo.png,official_website
GBR,London,Local Snacks,Cannon & Cannon,"British charcuterie, cured meats",Battersea,51.4767,-0.15,4.6,24,11200.0,,https://cannonandcannon.co.uk,,British charcuterie curator supplying Battersea Brewery boards with artisan cured meats from UK producers.,,official_website
GBR,London,Fruits & Vegetables,New Covent Garden Market,"Wholesale fruit, vegetables, flowers",Battersea,51.4767,-0.15,4.4,512,24500.0,,https://www.newcoventgardenmarket.com,"Guardian, FT",Nine Elms wholesale market supplying London's top restaurants with seasonal British and imported produce.,,official_website
GBR,London,Fruits & Vegetables,Dandy's Northcote Road,"Seasonal fruit, vegetables, herbs",Battersea,51.4767,-0.15,4.5,38,1200.0,,,,Independent Northcote Road greengrocer offering seasonal British produce alongside specialty herbs and salads.,,google_maps
GBR,London,Bakeries,Pavilion Bakery Columbia Road,"Sourdough, viennoiserie, pastries",Bethnal Green,51.527,-0.0552,4.4,112,38000.0,,https://www.pavilionbakery.com,Time Out,Independent East London sourdough bakery with a Columbia Road shop serving the E2 flower market crowd.,,official_website
GBR,London,Bakeries,G. Kelly Pie and Mash,"Traditional pies, mash, liquor, jellied eels",Bethnal Green,51.527,-0.0552,4.6,412,18500.0,,,"Guardian, Time Out",Historic Bethnal Green Road pie and mash shop hand-making traditional East End pies for over a century.,,google_maps
GBR,London,Coffee Roasteries,Trade Coffee Bethnal Green Road,"Speciality espresso, filter, brunch",Bethnal Green,51.527,-0.0552,4.5,485,16200.0,,,Time Out,Independent speciality coffee bar on Bethnal Green Road sourcing rotating roasters with strong barista focus.,,google_maps
GBR,London,Coffee Roasteries,The Corner Pantry Cambridge Heath,"Speciality coffee, pastries",Bethnal Green,51.527,-0.0552,4.4,68,2800.0,,,,Independent neighbourhood cafe near Cambridge Heath Road pouring speciality coffee in the E2 Bethnal Green area.,,google_maps
GBR,London,Breweries,Redchurch Brewery,"Bethnal Pale Ale, Hoxton Stout, sour beers",Bethnal Green,51.527,-0.0552,4.6,124,9800.0,,https://www.redchurch.beer,"Evening Standard, Time Out",Independent East End brewery founded in Bethnal Green producing flagship Bethnal Pale Ale and craft beer range.,,official_website
GBR,London,Distilleries,Sacred Spirits,"Small-batch gin, vermouth, English whisky blends",Bethnal Green,51.527,-0.0552,4.9,82,12400.0,,,"FT, Telegraph",Pioneering micro-distiller of small-batch English gin and vermouths with strong critical acclaim.,,google_maps
GBR,London,Delicatessen,E. Pellicci,"Italian cafe-deli, hand-made pasta, focaccia",Bethnal Green,51.527,-0.0552,4.8,1578,89000.0,,,"Guardian, BBC, Time Out",Grade II-listed family-run Italian cafe-deli on Bethnal Green Road serving the community since 1900.,,official_website
GBR,London,Delicatessen,Campania Gastronomia,"Italian deli, cured meats, cheeses, pasta",Bethnal Green,51.527,-0.0552,4.6,684,42000.0,,,Time Out,Independent Italian deli and trattoria on Columbia Road sourcing artisan Italian produce and cured meats.,,google_maps
GBR,London,Delicatessen,Brawn,"Natural wine, charcuterie, retail provisions",Bethnal Green,51.527,-0.0552,4.6,428,35000.0,,https://www.brawn.co,"Guardian, FT, Eater London",Columbia Road neighbourhood restaurant and natural wine retailer with strong critical reputation for provisions.,,official_website
GBR,London,Delicatessen,Mother Kellys Bethnal Green,"Craft beer bottle shop, taproom",Bethnal Green,51.527,-0.0552,4.5,852,28000.0,,https://www.motherkellys.co.uk,"Time Out, Evening Standard",Paradise Row railway-arch bottle shop and taproom curating UK and international craft beer for the E2 community.,,official_website
GBR,London,Delicatessen,Lupos Columbia Road,"Italian sandwiches, deli goods",Bethnal Green,51.527,-0.0552,4.7,54,3400.0,,,,Independent Italian sandwich shop and deli on Columbia Road serving the flower market trade.,,google_maps
GBR,London,Seafood Producers,Jonathan Norris Fishmonger Columbia Road,"Sustainable wet fish, smoked fish",Bethnal Green,51.527,-0.0552,4.8,62,4500.0,,,,Independent fishmonger trading at Columbia Road on Sundays supplying sustainable fresh and smoked seafood.,,google_maps
GBR,London,Local Snacks,Sager + Wilde Hackney Road,"Natural wines, bar snacks, charcuterie",Bethnal Green,51.527,-0.0552,4.5,612,34000.0,,https://sagerandwilde.com,"Guardian, Eater London",Pioneering Hackney Road natural wine bar with curated charcuterie and snack programme in the heart of E2.,,official_website
GBR,London,Local Snacks,The Marksman Public House,"Beef and barley buns, pies, British snacks",Bethnal Green,51.527,-0.0552,4.6,842,45000.0,,https://www.marksmanpublichouse.com,"Michelin, Guardian, Observer",Michelin Pub of the Year on Hackney Road famed for its beef and barley buns and elevated British bar snacks.,,official_website
GBR,London,Fruits & Vegetables,Columbia Road Flower Market Greengrocers,"Seasonal produce, herbs, plants",Bethnal Green,51.527,-0.0552,4.4,15,,,,"Guardian, Time Out",Sunday Columbia Road market traders supplying E2 residents with seasonal British and continental produce alongside flowers.,,google_maps
GBR,London,Bakeries,Toad Bakery,"Sourdough loaves, viennoiserie, focaccia",Camberwell,51.474,-0.093,4.8,214,28500.0,,https://www.toadbakery.com,"Guardian, Time Out",Independent Camberwell Church Street microbakery known for naturally leavened sourdough and seasonal pastries.,,official_website
GBR,London,Bakeries,Wood & Water Bakery,"Sourdough, croissants, cakes",Camberwell,51.474,-0.093,4.6,45,1800.0,,,,Small-batch Camberwell bakery praised locally for sourdough loaves and laminated pastries.,,google_maps
GBR,London,Coffee Roasteries,Lumberjack,"Specialty coffee, roasted beans, training cafe",Camberwell,51.474,-0.093,4.5,312,5400.0,,https://www.lumberjack.coffee,"Time Out, Standard",Social-enterprise coffee bar at Coldharbour Lane sourcing specialty beans and supporting ex-offender employment.,,official_website
GBR,London,Delicatessen,Marmelo Kitchen,"Portuguese deli items, pastel de nata, charcuterie",Camberwell,51.474,-0.093,4.6,184,12500.0,,,,Camberwell Church Street Portuguese deli-cafe noted for house pastel de nata and Iberian larder goods.,,google_maps
GBR,London,Butcher Shops,Pure Meats Camberwell,"Halal beef, lamb, chicken, fresh cuts",Camberwell,51.474,-0.093,4.4,28,,,,,Long-standing Camberwell Church Street butcher serving the local community with fresh halal cuts.,,google_maps
GBR,London,Seafood Producers,Camberwell Fisheries,"Fresh fish, shellfish, fishmonger counter",Camberwell,51.474,-0.093,4.7,92,2100.0,,,,Independent Camberwell fishmonger serving Church Street locals with daily fresh fish and shellfish.,,google_maps
GBR,London,Fruits & Vegetables,Camberwell Green Grocers,"Seasonal fruit, vegetables, herbs",Camberwell,51.474,-0.093,4.3,34,,,,,Independent greengrocer at Camberwell Green stocking seasonal fruit and vegetables for local residents.,,google_maps
GBR,London,Bakeries,Buns from Home Camden,"Cinnamon buns, sourdough viennoiserie",Camden,51.539,-0.1426,4.6,154,145000.0,32000.0,https://www.bunsfromhome.com,"Time Out, Guardian",Camden outpost of the indie London bakery known for laminated cinnamon and cardamom buns.,http://static1.squarespace.com/static/6086982b8d0f0051fe91eae9/t/694151945952ed64469bc63c/1765888404872/IMG_1056.JPG?format=1500w,official_website
GBR,London,Bakeries,Chin Chin Labs,"Liquid nitrogen ice cream, nitro sandwiches",Camden,51.539,-0.1426,4.5,2345,82000.0,15400.0,https://www.chinchinlabs.com,"Time Out, Standard, Guardian",Camden Market indie nitro-ice-cream lab pioneering theatrical liquid-nitrogen desserts and brownie sandwiches.,https://chinchinicecream.com/wp-content/uploads/2026/02/Seven-Dials-Market-scaled.jpg,official_website
GBR,London,Bakeries,Crosstown Doughnuts Camden,"Sourdough doughnuts, vegan options",Camden,51.539,-0.1426,4.4,412,185000.0,24000.0,https://www.crosstown.co.uk,"Guardian, Time Out",London indie sourdough doughnut maker with Camden presence selling small-batch sourdough doughnuts.,,official_website
GBR,London,Coffee Roasteries,Camden Coffee Shop,Hand-roasted single origin beans,Camden,51.539,-0.1426,4.8,168,3400.0,,,"Guardian, FT, Telegraph",Delancey Street heritage independent hand-roaster trading since 1978 with old-school in-shop coffee roasting.,,google_maps
GBR,London,Coffee Roasteries,Coffee Island Camden,"Speciality espresso, single origin",Camden,51.539,-0.1426,4.5,542,28000.0,,https://www.coffeeisland.co.uk,,Independent specialty coffee roaster with Camden cafe roasting and serving its own beans.,https://www.coffeeisland.co.uk/assets/img/social/home.jpg,official_website
GBR,London,Coffee Roasteries,Maple Camden,"Speciality espresso, filter, cold brew",Camden,51.539,-0.1426,4.5,184,2400.0,,,,Camden independent specialty coffee bar serving carefully sourced beans to the NW1 catchment.,,google_maps
GBR,London,Breweries,Camden Town Brewery (Camden Hells Bar),"Camden Hells lager, pale ale",Camden,51.539,-0.1426,4.6,1254,112000.0,8400.0,https://www.camdentownbrewery.com,"Time Out, Standard, FT",Original Camden brewery brand still operating its NW1 taproom though main production has moved to Enfield.,http://camdentownbrewery.com/cdn/shop/files/Page_1.png?height=628&pad_color=fff&v=1657016621&width=1200,official_website
GBR,London,Breweries,Hawkes Cidery and Taproom,"Craft cider, perry, cordial",Camden,51.539,-0.1426,4.5,142,14500.0,,https://www.wearehawkes.com,"Time Out, Standard",Bermondsey-founded cidery with a Camden Town venue producing London craft cider with British apples.,,official_website
GBR,London,Breweries,BrewDog Camden taproom,"Craft beer, IPA, lager",Camden,51.539,-0.1426,4.4,1842,240000.0,15000.0,https://www.brewdog.com,Time Out,Camden Town taproom of the Scottish craft brewer with Camden-brewed seasonal small batches.,,official_website
GBR,London,Distilleries,Half Hitch Gin,Camden Market tea-infused gin,Camden,51.539,-0.1426,4.8,64,5400.0,,https://www.halfhitch.london,"Time Out, Standard, Telegraph",Camden Market-rooted craft gin distillery infusing botanicals with bergamot and Earl Grey tea.,http://static1.squarespace.com/static/57a3518a1b631ba908a857f9/t/5813098603596eed259a4aa8/1477642631417/HOL003_05+Half+Hitch_Lifestyle_Cocktail_3.jpg?format=1500w,official_website
